conflict_id,conflict_name_en,conflict_name_ko,color,flag,latitude,longitude
ucdp_218,India - Pakistan,인도·파키스탄,#20D6CF,🇮🇳 🇵🇰,34.665198,73.961036
ucdp_274,China - India,중국·인도,#FFD052,🇨🇳 🇮🇳,33.599399,78.646328
ucdp_294,Cambodia (Kampuchea) - Thailand,캄보디아·태국,#AB8DFF,🇰🇭 🇹🇭,14.400000,104.933330
ucdp_302,Israel - Syria,이스라엘·시리아,#FF8AB4,🇮🇱 🇸🇾,32.711796,36.567370
ucdp_324,Iran - Iraq,이란·이라크,#7FD28C,🇮🇷 🇮🇶,36.650000,44.530000
ucdp_409,Eritrea - Ethiopia,에리트레아·에티오피아,#EFAB68,🇪🇷 🇪🇹,14.416790,39.278382
ucdp_11639,Afghanistan - Pakistan,아프가니스탄·파키스탄,#82C9FF,🇦🇫 🇵🇰,30.955233,66.437581
ucdp_13243,Russia - Ukraine,러시아·우크라이나,#3296FF,🇷🇺 🇺🇦,48.520114,37.704963
ucdp_13324,Kyrgyzstan - Tajikistan,키르기스스탄·타지키스탄,#D4E66A,🇰🇬 🇹🇯,39.876000,70.520000
ucdp_14609,Iran - Israel,이란·이스라엘,#FF7953,🇮🇷 🇮🇱,35.696111,51.423056
ucdp_16099,"United Kingdom, United States of America, Yemen (North Yemen)",영국·미국·예멘,#D9A0DE,🇬🇧 🇺🇸 🇾🇪,14.797812,42.954516
ucdp_16470,Israel - Yemen,이스라엘·예멘,#B6BFCB,🇮🇱 🇾🇪,15.354722,44.206667
