actor_id,canonical_name,alias,sources,needs_review,actor_dataset_matched
3,Government of United States of America,Government of United States of America,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_a,False,True
3,Government of United States of America,United States of America,derived_government_name,True,True
18,Government of Venezuela,Government of Venezuela,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_b,False,True
18,Government of Venezuela,Venezuela,derived_government_name,True,True
28,Government of United Kingdom,Government of United Kingdom,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng,False,True
28,Government of United Kingdom,United Kingdom,derived_government_name,True,True
57,Government of Russia (Soviet Union),Government of Russia (Soviet Union),Actor.NameData|Actor.NewName|Actor.NewNameFullEng|Actor.NewNameFullMotherTongue|GED.side_a,False,True
57,Government of Russia (Soviet Union),Government of Soviet Union,Actor.NameOrig|Actor.NameOrigFullEng,False,True
57,Government of Russia (Soviet Union),Russia,derived_government_name,True,True
61,Government of Ukraine,Government of Ukraine,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_b,False,True
61,Government of Ukraine,Ukraine,derived_government_name,True,True
89,Government of DR Congo (Zaire),DR Congo,derived_government_name,True,True
89,Government of DR Congo (Zaire),Government of Democratic Republic of the Congo (Zaire),Actor.NameOrigFullEng,False,True
89,Government of DR Congo (Zaire),Government of DR Congo (Zaire),Actor.NameData|Actor.NameOrig|GED.side_a,False,True
89,Government of DR Congo (Zaire),Government of République démocratique du Congo (Zaïre),Actor.NameOrigFull,False,True
94,Government of Rwanda,Government of Rwanda,Actor.NameData|Actor.NameOrig|Actor.NameOrigFull|Actor.NameOrigFullEng|GED.side_b,False,True
94,Government of Rwanda,Rwanda,derived_government_name,True,True
97,Government of Ethiopia,Ethiopia,derived_government_name,True,True
97,Government of Ethiopia,Government of Ethiopia,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_b,False,True
98,Government of Eritrea,Eritrea,derived_government_name,True,True
98,Government of Eritrea,Government of Eritrea,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_a,False,True
114,Government of Iran,Government of Iran,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_a,False,True
114,Government of Iran,Iran,derived_government_name,True,True
116,Government of Iraq,Government of Iraq,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_b,False,True
116,Government of Iraq,Iraq,derived_government_name,True,True
118,Government of Syria,Government of Syria,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_b,False,True
118,Government of Syria,Syria,derived_government_name,True,True
121,Government of Israel,Government of Israel,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_a|GED.side_b,False,True
121,Government of Israel,Israel,derived_government_name,True,True
123,Government of Yemen (North Yemen),Government of North Yemen,Actor.NameOrigFullEng,False,True
123,Government of Yemen (North Yemen),Government of Yemen (North Yemen),Actor.NameData|Actor.NameOrig|GED.side_b,False,True
123,Government of Yemen (North Yemen),Yemen,derived_government_name,True,True
130,Government of Afghanistan,Afghanistan,derived_government_name,True,True
130,Government of Afghanistan,Government of Afghanistan,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_a,False,True
131,Government of Tajikistan,Government of Tajikistan,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_b,False,True
131,Government of Tajikistan,Tajikistan,derived_government_name,True,True
132,Government of Kyrgyzstan,Government of Kyrgyzstan,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_a,False,True
132,Government of Kyrgyzstan,Kyrgyzstan,derived_government_name,True,True
135,Government of China,China,derived_government_name,True,True
135,Government of China,Government of China,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_a,False,True
141,Government of India,Government of India,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_a|GED.side_b,False,True
141,Government of India,India,derived_government_name,True,True
142,Government of Pakistan,Government of Pakistan,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_b,False,True
142,Government of Pakistan,Pakistan,derived_government_name,True,True
143,Government of Bangladesh,Bangladesh,derived_government_name,True,True
143,Government of Bangladesh,Government of Bangladesh,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_a,False,True
144,Government of Myanmar (Burma),Government of Myanmar (Burma),Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_b,False,True
144,Government of Myanmar (Burma),Myanmar,derived_government_name,True,True
147,Government of Thailand,Government of Thailand,Actor.NameData|Actor.NameOrig|Actor.NameOrigFullEng|GED.side_b,False,True
147,Government of Thailand,Thailand,derived_government_name,True,True
148,Government of Cambodia (Kampuchea),Cambodia,derived_government_name,True,True
148,Government of Cambodia (Kampuchea),Government of Cambodia,Actor.NameOrigFullEng,False,True
148,Government of Cambodia (Kampuchea),Government of Cambodia (Kampuchea),Actor.NameData|Actor.NameOrig|GED.side_a,False,True
