conflict_id,ucdp_conflict_id,conflict_name_en,scope_status,analysis_start,analysis_end,annual_interstate_years,actor_ids,actor_pairs,participant_country_ids,observed_country_ids,gdelt_geo_country_codes,event_count,first_observed_date,last_observed_date
ucdp_164,164,XXX2,state_pair_candidate,2016-01-01,2026-09-23,,3|18,"[[""3"", ""18""]]",2|101,101,US|VE,1,2026-01-05,2026-01-05
ucdp_218,218,India - Pakistan,acd_interstate,2016-01-01,2026-09-23,1948|1964|1965|1971|1984|1987|1989|1990|1991|1992|1994|1996|1997|1998|1999|2000|2001|2002|2003|2013|2014|2015|2016|2017|2018|2019|2020|2025,141|142,"[[""141"", ""142""]]",750|770,750|770,IN|PK,389,2016-08-08,2025-11-07
ucdp_274,274,China - India,acd_interstate,2016-01-01,2026-09-23,1962|1967|2020,135|141,"[[""135"", ""141""]]",710|750,750,CH|IN,2,2020-06-15,2020-08-30
ucdp_294,294,Cambodia (Kampuchea) - Thailand,acd_interstate,2016-01-01,2026-09-23,1977|1978|2011|2025,147|148,"[[""147"", ""148""]]",800|811,800|811,CB|TH,55,2025-05-28,2025-12-27
ucdp_302,302,Israel - Syria,acd_interstate,2016-01-01,2026-09-23,1967|1973|2025,118|121,"[[""118"", ""121""]]",652|666,652|666,GZ|IS|SY|WE,36,2016-09-17,2026-04-03
ucdp_324,324,Iran - Iraq,acd_interstate,2016-01-01,2026-09-23,1974|1980|1981|1982|1983|1984|1985|1986|1987|1988,114|116,"[[""114"", ""116""]]",630|645,645,IR|IZ,1,2026-03-24,2026-03-24
ucdp_409,409,Eritrea - Ethiopia,acd_interstate,2016-01-01,2026-09-23,1998|1999|2000|2016,97|98,"[[""97"", ""98""]]",530|531,531,ER|ET,1,2016-06-12,2016-06-13
ucdp_10383,10383,Bangladesh - Myanmar (Burma),state_pair_candidate,2016-01-01,2026-09-23,,143|144,"[[""143"", ""144""]]",771|775,771,BG|BM,2,2026-01-15,2026-06-24
ucdp_10771,10771,DR Congo (Zaire) - Rwanda,state_pair_candidate,2016-01-01,2026-09-23,,89|94,"[[""89"", ""94""]]",490|517,490,CG|RW,1,2026-04-10,2026-04-10
ucdp_11639,11639,Afghanistan - Pakistan,acd_interstate,2016-01-01,2026-09-23,2024|2025,130|142,"[[""130"", ""142""]]",700|770,700|770,AF|PK,157,2016-04-23,2026-05-13
ucdp_13243,13243,Russia - Ukraine,acd_interstate,2016-01-01,2026-09-23,2022|2023|2024|2025,57|61,"[[""57"", ""61""]]",365|369,290|365|369,PL|RS|UP,40184,2016-08-06,2026-09-01
ucdp_13324,13324,Kyrgyzstan - Tajikistan,acd_interstate,2016-01-01,2026-09-23,2021|2022,131|132,"[[""131"", ""132""]]",702|703,702|703,KG|TI,62,2019-09-16,2022-09-18
ucdp_14609,14609,Iran - Israel,acd_interstate,2016-01-01,2026-09-23,2018|2019|2020|2021|2022|2023|2024|2025,114|121,"[[""114"", ""121""]]",630|666,630|645|652|660|663|666|678,GZ|IR|IS|IZ|JO|LE|SY|WE|YM,297,2017-03-19,2026-05-28
ucdp_16099,16099,"United Kingdom, United States of America, Yemen (North Yemen)",acd_interstate,2016-01-01,2026-09-23,2024|2025,3|28|123,"[[""28"", ""123""], [""3"", ""123""]]",2|200|678,,UK|US|YM,0,,
ucdp_16470,16470,Israel - Yemen,acd_interstate,2016-01-01,2026-09-23,2025,121|123,"[[""121"", ""123""]]",666|678,678,GZ|IS|WE|YM,21,2024-12-26,2025-09-25
