ucdp_country_id,ucdp_country_name,gdelt_geo_country_code,gdelt_geo_country_name,mapping_note
41,Haiti,HA,Haiti,
100,Colombia,CO,Colombia,
101,Venezuela,VE,Venezuela,
130,Ecuador,EC,Ecuador,
135,Peru,PE,Peru,
200,United Kingdom,UK,United Kingdom,
211,Belgium,BE,Belgium,
220,France,FR,France,
290,Poland,PL,Poland,
365,Russia (Soviet Union),RS,Russia,
369,Ukraine,UP,Ukraine,
371,Armenia,AM,Armenia,
373,Azerbaijan,AJ,Azerbaijan,
432,Mali,ML,Mali,
433,Senegal,SG,Senegal,
434,Benin,BN,Benin,
435,Mauritania,MR,Mauritania,
436,Niger,NG,Niger,
439,Burkina Faso,UV,Burkina Faso,
461,Togo,TO,Togo,
471,Cameroon,CM,Cameroon,
475,Nigeria,NI,Nigeria,
482,Central African Republic,CT,Central African Republic,
483,Chad,CD,Chad,
484,Congo,CF,Congo,
490,DR Congo (Zaire),CG,Democratic Republic of the Congo,
500,Uganda,UG,Uganda,
501,Kenya,KE,Kenya,
510,Tanzania,TZ,Tanzania,
516,Burundi,BY,Burundi,
517,Rwanda,RW,Rwanda,
520,Somalia,SO,Somalia,
530,Ethiopia,ET,Ethiopia,
531,Eritrea,ER,Eritrea,
540,Angola,AO,Angola,
541,Mozambique,MZ,Mozambique,
600,Morocco,MO,Morocco,
600,Morocco,WI,Western Sahara,UCDP 국가 묶음과 GDELT 지리 분류 차이를 보완하는 검색 후보
615,Algeria,AG,Algeria,
616,Tunisia,TS,Tunisia,
620,Libya,LY,Libya,
625,Sudan,SU,Sudan,
626,South Sudan,OD,South Sudan,
630,Iran,IR,Iran,
640,Turkey,TU,Turkey,
645,Iraq,IZ,Iraq,
651,Egypt,EG,Egypt,
652,Syria,SY,Syria,
660,Lebanon,LE,Lebanon,
663,Jordan,JO,Jordan,
666,Israel,IS,Israel,
666,Israel,GZ,Gaza Strip,UCDP 국가 묶음과 GDELT 지리 분류 차이를 보완하는 검색 후보
666,Israel,WE,West Bank,UCDP 국가 묶음과 GDELT 지리 분류 차이를 보완하는 검색 후보
670,Saudi Arabia,SA,Saudi Arabia,
678,Yemen (North Yemen),YM,Yemen,
694,Qatar,QA,Qatar,
696,United Arab Emirates,AE,United Arab Emirates,
700,Afghanistan,AF,Afghanistan,
702,Tajikistan,TI,Tajikistan,
703,Kyrgyzstan,KG,Kyrgyzstan,
710,China,CH,China,
750,India,IN,India,
770,Pakistan,PK,Pakistan,
771,Bangladesh,BG,Bangladesh,
775,Myanmar (Burma),BM,Myanmar,
800,Thailand,TH,Thailand,
811,Cambodia (Kampuchea),CB,Cambodia,
820,Malaysia,MY,Malaysia,
840,Philippines,RP,Philippines,
850,Indonesia,ID,Indonesia,
900,Australia,AS,Australia,
